"filename", "language", "Markdown", "SQL", "JSON", "Python", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Inventory_level.py", "Python", 0, 0, 0, 243, 74, 28, 345
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Load_user.py", "Python", 0, 0, 0, 31, 11, 2, 44
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Profil\Profile.py", "Python", 0, 0, 0, 116, 52, 20, 188
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Register_view.py", "Python", 0, 0, 0, 166, 55, 27, 248
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\NPC_battle\Battle_NPC.py", "Python", 0, 0, 0, 6, 0, 1, 7
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\NPC_battle\NPC_battle.py", "Python", 0, 0, 0, 89, 32, 16, 137
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Others\Connection.py", "Python", 0, 0, 0, 50, 42, 9, 101
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Others\Crossing.py", "Python", 0, 0, 0, 16, 40, 5, 61
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Others\Help_methods.py", "Python", 0, 0, 0, 8, 27, 1, 36
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\__init__.py", "Python", 0, 0, 0, 63, 12, 10, 85
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\database.json", "JSON", 0, 0, 5, 0, 0, 0, 5
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\lib\ICommand.py", "Python", 0, 0, 0, 5, 11, 1, 17
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\server.json", "JSON", 0, 0, 5, 0, 0, 0, 5
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\mystic_jewels.session.sql", "SQL", 0, 1, 0, 0, 0, 0, 1
"Total", "-", 79, 1, 16, 1879, 1056, 324, 3355
